"id","quarter","decade","casualties"
136,"Q3","Past_Decade","Positive"
137,"Q3","Past_Decade","Positive"
138,"Q3","Past_Decade","Positive"
139,"Q3","Past_Decade","Negative"
140,"Q3","Past_Decade","Negative"
141,"Q3","Past_Decade","Negative"
142,"Q3","Past_Decade","Positive"
143,"Q3","Past_Decade","Negative"
144,"Q3","Past_Decade","Positive"
147,"Q3","Past_Decade","Positive"
148,"Q3","Past_Decade","Positive"
150,"Q3","Past_Decade","Negative"
153,"Q4","Past_Decade","Positive"
155,"Q4","Past_Decade","Positive"
156,"Q4","Past_Decade","Negative"
158,"Q4","Past_Decade","Positive"
160,"Q4","Past_Decade","Positive"
162,"Q4","Past_Decade","Positive"
163,"Q4","Past_Decade","Negative"
164,"Q4","Past_Decade","Positive"
165,"Q4","Past_Decade","Negative"
166,"Q4","Past_Decade","Negative"
169,"Q4","Past_Decade","Positive"
171,"Q4","Past_Decade","Positive"
172,"Q4","Past_Decade","Positive"
173,"Q4","Past_Decade","Positive"
176,"Q4","Past_Decade","Positive"
178,"Q4","Past_Decade","Positive"
183,"Q4","Past_Decade","Positive"
185,"Q4","Past_Decade","Positive"
186,"Q4","Past_Decade","Positive"
195,"Q1","Past_Decade","Negative"
196,"Q1","Past_Decade","Positive"
198,"Q1","Past_Decade","Positive"
201,"Q1","Past_Decade","Positive"
202,"Q1","Past_Decade","Positive"
206,"Q1","Past_Decade","Negative"
207,"Q1","Past_Decade","Negative"
208,"Q1","Past_Decade","Positive"
211,"Q1","Past_Decade","Positive"
213,"Q1","Past_Decade","Positive"
214,"Q1","Past_Decade","Positive"
215,"Q1","Past_Decade","Positive"
218,"Q1","Past_Decade","Positive"
219,"Q1","Past_Decade","Positive"
221,"Q1","Past_Decade","Positive"
227,"Q1","Past_Decade","Negative"
228,"Q1","Past_Decade","Positive"
232,"Q1","Past_Decade","Negative"
233,"Q1","Past_Decade","Positive"
234,"Q1","Past_Decade","Positive"
236,"Q1","Past_Decade","Positive"
238,"Q1","Past_Decade","Positive"
239,"Q1","Past_Decade","Positive"
241,"Q1","Past_Decade","Negative"
244,"Q2","Past_Decade","Positive"
247,"Q2","Past_Decade","Positive"
248,"Q2","Past_Decade","Positive"
251,"Q2","Past_Decade","Negative"
253,"Q2","Past_Decade","Positive"
256,"Q2","Past_Decade","Negative"
257,"Q2","Past_Decade","Positive"
258,"Q2","Past_Decade","Positive"
260,"Q2","Past_Decade","Negative"
261,"Q2","Past_Decade","Positive"
263,"Q2","Past_Decade","Negative"
264,"Q2","Past_Decade","Positive"
266,"Q2","Past_Decade","Positive"
269,"Q2","Past_Decade","Positive"
276,"Q2","Past_Decade","Negative"
277,"Q2","Past_Decade","Positive"
278,"Q2","Past_Decade","Positive"
279,"Q2","Past_Decade","Positive"
280,"Q2","Past_Decade","Negative"
281,"Q2","Past_Decade","Positive"
282,"Q2","Past_Decade","Positive"
284,"Q2","Past_Decade","Positive"
285,"Q2","Past_Decade","Negative"
286,"Q2","Past_Decade","Positive"
287,"Q2","Past_Decade","Negative"
288,"Q2","Past_Decade","Positive"
289,"Q2","Past_Decade","Positive"
290,"Q2","Past_Decade","Negative"
291,"Q2","Past_Decade","Negative"
292,"Q2","Past_Decade","Negative"
294,"Q2","Past_Decade","Positive"
295,"Q2","Past_Decade","Positive"
297,"Q2","Past_Decade","Positive"
298,"Q2","Past_Decade","Positive"
300,"Q2","Past_Decade","Negative"
302,"Q2","Past_Decade","Positive"
303,"Q2","Past_Decade","Negative"
304,"Q2","Past_Decade","Positive"
305,"Q2","Past_Decade","Negative"
308,"Q2","Past_Decade","Positive"
309,"Q2","Past_Decade","Positive"
311,"Q2","Past_Decade","Positive"
316,"Q2","Past_Decade","Negative"
317,"Q2","Past_Decade","Positive"
319,"Q3","Past_Decade","Positive"
320,"Q3","Past_Decade","Positive"
321,"Q3","Past_Decade","Negative"
322,"Q3","Past_Decade","Positive"
323,"Q3","Past_Decade","Positive"
324,"Q3","Past_Decade","Positive"
326,"Q3","Past_Decade","Positive"
327,"Q3","Past_Decade","Negative"
331,"Q3","Past_Decade","Positive"
332,"Q3","Past_Decade","Negative"
333,"Q3","Past_Decade","Negative"
334,"Q3","Past_Decade","Positive"
336,"Q3","Past_Decade","Positive"
337,"Q3","Past_Decade","Positive"
338,"Q3","Past_Decade","Positive"
339,"Q3","Past_Decade","Positive"
341,"Q3","Past_Decade","Positive"
343,"Q3","Past_Decade","Positive"
344,"Q3","Past_Decade","Negative"
348,"Q3","Past_Decade","Positive"
350,"Q3","Past_Decade","Positive"
351,"Q3","Past_Decade","Positive"
352,"Q3","Past_Decade","Negative"
353,"Q3","Past_Decade","Positive"
354,"Q3","Past_Decade","Positive"
355,"Q3","Past_Decade","Negative"
361,"Q3","Past_Decade","Negative"
362,"Q3","Past_Decade","Positive"
365,"Q3","Past_Decade","Positive"
367,"Q3","Past_Decade","Positive"
368,"Q3","Past_Decade","Positive"
370,"Q3","Past_Decade","Negative"
371,"Q3","Past_Decade","Positive"
372,"Q3","Past_Decade","Positive"
376,"Q3","Past_Decade","Negative"
378,"Q3","Past_Decade","Positive"
379,"Q3","Past_Decade","Positive"
383,"Q3","Past_Decade","Negative"
384,"Q3","Past_Decade","Positive"
386,"Q3","Past_Decade","Positive"
387,"Q3","Past_Decade","Positive"
389,"Q3","Past_Decade","Positive"
391,"Q3","Past_Decade","Positive"
396,"Q3","Past_Decade","Negative"
397,"Q3","Past_Decade","Negative"
398,"Q3","Past_Decade","Positive"
401,"Q3","Past_Decade","Negative"
402,"Q4","Past_Decade","Negative"
403,"Q4","Past_Decade","Positive"
404,"Q4","Past_Decade","Positive"
405,"Q4","Past_Decade","Positive"
410,"Q4","Past_Decade","Positive"
411,"Q4","Past_Decade","Negative"
412,"Q4","Past_Decade","Positive"
414,"Q4","Past_Decade","Positive"
415,"Q4","Past_Decade","Positive"
416,"Q4","Past_Decade","Positive"
417,"Q4","Past_Decade","Positive"
419,"Q4","Past_Decade","Negative"
422,"Q4","Past_Decade","Positive"
423,"Q4","Past_Decade","Positive"
424,"Q4","Past_Decade","Positive"
427,"Q4","Past_Decade","Positive"
428,"Q4","Past_Decade","Positive"
430,"Q4","Past_Decade","Positive"
431,"Q4","Past_Decade","Negative"
432,"Q4","Past_Decade","Positive"
435,"Q4","Past_Decade","Positive"
437,"Q4","Past_Decade","Positive"
439,"Q4","Past_Decade","Positive"
440,"Q4","Past_Decade","Positive"
441,"Q4","Past_Decade","Positive"
442,"Q4","Past_Decade","Positive"
444,"Q4","Past_Decade","Positive"
445,"Q4","Past_Decade","Positive"
446,"Q4","Past_Decade","Positive"
447,"Q4","Past_Decade","Positive"
448,"Q4","Past_Decade","Negative"
450,"Q4","Past_Decade","Negative"
451,"Q4","Past_Decade","Positive"
452,"Q4","Past_Decade","Positive"
453,"Q4","Past_Decade","Negative"
457,"Q1","Past_Decade","Positive"
458,"Q1","Past_Decade","Positive"
461,"Q1","Past_Decade","Negative"
466,"Q1","Past_Decade","Positive"
468,"Q1","Past_Decade","Positive"
470,"Q1","Past_Decade","Negative"
472,"Q1","Past_Decade","Negative"
473,"Q1","Past_Decade","Positive"
474,"Q1","Past_Decade","Positive"
475,"Q1","Past_Decade","Negative"
476,"Q1","Past_Decade","Negative"
479,"Q1","Past_Decade","Positive"
480,"Q1","Past_Decade","Negative"
481,"Q1","Past_Decade","Negative"
482,"Q1","Past_Decade","Positive"
483,"Q1","Past_Decade","Negative"
484,"Q1","Past_Decade","Positive"
487,"Q1","Past_Decade","Positive"
489,"Q1","Past_Decade","Positive"
491,"Q1","Past_Decade","Negative"
492,"Q1","Past_Decade","Positive"
493,"Q1","Past_Decade","Positive"
496,"Q1","Past_Decade","Positive"
497,"Q1","Past_Decade","Positive"
499,"Q1","Past_Decade","Negative"
502,"Q1","Past_Decade","Positive"
503,"Q1","Past_Decade","Positive"
505,"Q1","Past_Decade","Positive"
506,"Q1","Past_Decade","Positive"
507,"Q2","Past_Decade","Positive"
510,"Q2","Past_Decade","Positive"
512,"Q2","Past_Decade","Positive"
513,"Q2","Past_Decade","Positive"
514,"Q2","Past_Decade","Positive"
515,"Q2","Past_Decade","Positive"
519,"Q2","Past_Decade","Negative"
521,"Q2","Past_Decade","Positive"
522,"Q2","Past_Decade","Negative"
523,"Q2","Past_Decade","Positive"
524,"Q2","Past_Decade","Positive"
525,"Q2","Past_Decade","Positive"
527,"Q2","Past_Decade","Negative"
528,"Q2","Past_Decade","Positive"
530,"Q2","Past_Decade","Positive"
532,"Q2","Past_Decade","Positive"
534,"Q2","Past_Decade","Negative"
535,"Q2","Past_Decade","Negative"
538,"Q2","Past_Decade","Positive"
539,"Q2","Past_Decade","Positive"
542,"Q2","Past_Decade","Positive"
543,"Q2","Past_Decade","Negative"
544,"Q2","Past_Decade","Negative"
546,"Q2","Past_Decade","Positive"
547,"Q2","Past_Decade","Positive"
548,"Q2","Past_Decade","Positive"
551,"Q2","Past_Decade","Positive"
552,"Q2","Past_Decade","Negative"
553,"Q2","Past_Decade","Negative"
554,"Q2","Past_Decade","Positive"
556,"Q2","Past_Decade","Positive"
560,"Q2","Past_Decade","Negative"
564,"Q2","Past_Decade","Positive"
565,"Q2","Past_Decade","Positive"
567,"Q2","Past_Decade","Positive"
569,"Q2","Past_Decade","Positive"
570,"Q2","Past_Decade","Negative"
571,"Q2","Past_Decade","Positive"
572,"Q2","Past_Decade","Positive"
573,"Q3","Past_Decade","Positive"
577,"Q3","Past_Decade","Positive"
578,"Q3","Past_Decade","Negative"
579,"Q3","Past_Decade","Positive"
582,"Q3","Past_Decade","Positive"
584,"Q3","Past_Decade","Positive"
585,"Q3","Past_Decade","Positive"
587,"Q3","Past_Decade","Positive"
589,"Q3","Past_Decade","Positive"
590,"Q3","Past_Decade","Positive"
591,"Q3","Past_Decade","Negative"
594,"Q3","Past_Decade","Positive"
595,"Q3","Past_Decade","Positive"
598,"Q3","Past_Decade","Positive"
603,"Q3","Past_Decade","Positive"
604,"Q3","Past_Decade","Negative"
605,"Q3","Past_Decade","Positive"
608,"Q3","Past_Decade","Positive"
610,"Q3","Past_Decade","Positive"
611,"Q3","Past_Decade","Positive"
615,"Q4","Past_Decade","Negative"
617,"Q4","Past_Decade","Positive"
619,"Q4","Past_Decade","Positive"
620,"Q4","Past_Decade","Positive"
622,"Q4","Past_Decade","Positive"
624,"Q4","Past_Decade","Positive"
625,"Q4","Past_Decade","Negative"
626,"Q4","Past_Decade","Positive"
628,"Q4","Past_Decade","Negative"
629,"Q4","Past_Decade","Negative"
631,"Q4","Past_Decade","Positive"
632,"Q4","Past_Decade","Positive"
634,"Q4","Past_Decade","Positive"
635,"Q4","Past_Decade","Negative"
636,"Q4","Past_Decade","Positive"
637,"Q4","Past_Decade","Positive"
638,"Q4","Past_Decade","Positive"
639,"Q4","Past_Decade","Positive"
640,"Q4","Past_Decade","Positive"
641,"Q4","Past_Decade","Positive"
642,"Q4","Past_Decade","Positive"
644,"Q4","Past_Decade","Positive"
645,"Q4","Past_Decade","Negative"
646,"Q4","Past_Decade","Negative"
647,"Q4","Past_Decade","Positive"
649,"Q4","Past_Decade","Positive"
653,"Q4","Past_Decade","Positive"
654,"Q4","Past_Decade","Positive"
656,"Q4","Past_Decade","Positive"
660,"Q4","Past_Decade","Positive"
661,"Q4","Past_Decade","Positive"
663,"Q4","Past_Decade","Positive"
664,"Q4","Past_Decade","Positive"
666,"Q4","Past_Decade","Positive"
668,"Q4","Past_Decade","Positive"
669,"Q1","Past_Decade","Positive"
670,"Q1","Past_Decade","Positive"
671,"Q1","Past_Decade","Positive"
672,"Q1","Past_Decade","Positive"
674,"Q1","Past_Decade","Positive"
675,"Q1","Past_Decade","Positive"
676,"Q1","Past_Decade","Positive"
677,"Q1","Past_Decade","Positive"
678,"Q1","Past_Decade","Negative"
679,"Q1","Past_Decade","Negative"
680,"Q1","Past_Decade","Positive"
682,"Q1","Past_Decade","Negative"
683,"Q1","Past_Decade","Negative"
684,"Q1","Past_Decade","Positive"
686,"Q1","Past_Decade","Positive"
690,"Q1","Past_Decade","Negative"
692,"Q1","Past_Decade","Negative"
694,"Q1","Past_Decade","Positive"
696,"Q1","Past_Decade","Positive"
698,"Q1","Past_Decade","Positive"
699,"Q1","Past_Decade","Positive"
702,"Q1","Past_Decade","Negative"
704,"Q1","Past_Decade","Positive"
705,"Q1","Past_Decade","Positive"
708,"Q2","Past_Decade","Positive"
710,"Q2","Past_Decade","Positive"
711,"Q2","Past_Decade","Negative"
712,"Q2","Past_Decade","Negative"
713,"Q2","Past_Decade","Positive"
716,"Q2","Past_Decade","Positive"
717,"Q2","Past_Decade","Positive"
718,"Q2","Past_Decade","Negative"
719,"Q2","Past_Decade","Positive"
720,"Q2","Past_Decade","Positive"
721,"Q2","Past_Decade","Positive"
722,"Q2","Past_Decade","Positive"
723,"Q2","Past_Decade","Positive"
724,"Q2","Past_Decade","Positive"
726,"Q2","Past_Decade","Positive"
729,"Q2","Past_Decade","Positive"
730,"Q2","Past_Decade","Positive"
732,"Q2","Past_Decade","Positive"
733,"Q2","Past_Decade","Negative"
734,"Q2","Past_Decade","Positive"
735,"Q2","Past_Decade","Positive"
737,"Q2","Past_Decade","Positive"
738,"Q2","Past_Decade","Negative"
739,"Q2","Past_Decade","Negative"
741,"Q2","Past_Decade","Positive"
742,"Q2","Past_Decade","Positive"
743,"Q2","Past_Decade","Positive"
744,"Q2","Past_Decade","Negative"
745,"Q2","Past_Decade","Positive"
747,"Q2","Past_Decade","Negative"
749,"Q2","Past_Decade","Positive"
750,"Q2","Past_Decade","Positive"
751,"Q2","Past_Decade","Positive"
753,"Q2","Past_Decade","Negative"
755,"Q3","Past_Decade","Negative"
756,"Q3","Past_Decade","Negative"
757,"Q3","Past_Decade","Positive"
766,"Q3","Past_Decade","Positive"
768,"Q3","Past_Decade","Positive"
769,"Q3","Past_Decade","Positive"
770,"Q3","Past_Decade","Positive"
771,"Q3","Past_Decade","Positive"
772,"Q3","Past_Decade","Positive"
773,"Q3","Past_Decade","Positive"
774,"Q3","Past_Decade","Positive"
775,"Q3","Past_Decade","Negative"
776,"Q3","Past_Decade","Positive"
777,"Q3","Past_Decade","Positive"
780,"Q3","Past_Decade","Positive"
781,"Q3","Past_Decade","Positive"
782,"Q3","Past_Decade","Negative"
784,"Q3","Past_Decade","Positive"
785,"Q3","Past_Decade","Positive"
788,"Q3","Past_Decade","Positive"
790,"Q3","Past_Decade","Negative"
791,"Q3","Past_Decade","Positive"
793,"Q3","Past_Decade","Positive"
795,"Q3","Past_Decade","Negative"
797,"Q3","Past_Decade","Positive"
798,"Q3","Past_Decade","Positive"
799,"Q3","Past_Decade","Positive"
800,"Q3","Past_Decade","Positive"
801,"Q3","Past_Decade","Negative"
806,"Q3","Past_Decade","Positive"
807,"Q3","Past_Decade","Negative"
808,"Q3","Past_Decade","Negative"
809,"Q3","Past_Decade","Positive"
811,"Q3","Past_Decade","Positive"
812,"Q3","Past_Decade","Positive"
814,"Q3","Past_Decade","Positive"
815,"Q3","Past_Decade","Negative"
816,"Q3","Past_Decade","Negative"
817,"Q4","Past_Decade","Negative"
821,"Q4","Past_Decade","Positive"
822,"Q4","Past_Decade","Positive"
825,"Q4","Past_Decade","Negative"
826,"Q4","Past_Decade","Negative"
827,"Q4","Past_Decade","Positive"
830,"Q4","Past_Decade","Positive"
831,"Q4","Past_Decade","Positive"
835,"Q4","Past_Decade","Positive"
838,"Q4","Past_Decade","Positive"
839,"Q4","Past_Decade","Positive"
842,"Q4","Past_Decade","Negative"
843,"Q4","Past_Decade","Positive"
845,"Q4","Past_Decade","Positive"
846,"Q4","Past_Decade","Positive"
847,"Q4","Past_Decade","Positive"
848,"Q4","Past_Decade","Positive"
849,"Q4","Past_Decade","Positive"
853,"Q4","Past_Decade","Positive"
855,"Q4","Past_Decade","Positive"
857,"Q4","Past_Decade","Positive"
858,"Q4","Past_Decade","Negative"
860,"Q4","Past_Decade","Positive"
861,"Q4","Past_Decade","Positive"
862,"Q4","Past_Decade","Negative"
863,"Q4","Past_Decade","Negative"
864,"Q4","Past_Decade","Positive"
865,"Q4","Past_Decade","Positive"
866,"Q4","Past_Decade","Negative"
868,"Q4","Past_Decade","Negative"
869,"Q4","Past_Decade","Negative"
870,"Q4","Past_Decade","Negative"
872,"Q4","Past_Decade","Positive"
873,"Q4","Past_Decade","Positive"
874,"Q4","Past_Decade","Negative"
875,"Q4","Past_Decade","Negative"
877,"Q1","Past_Decade","Negative"
878,"Q1","Past_Decade","Positive"
880,"Q1","Past_Decade","Positive"
882,"Q1","Past_Decade","Positive"
885,"Q1","Past_Decade","Negative"
886,"Q1","Past_Decade","Positive"
887,"Q1","Past_Decade","Positive"
888,"Q1","Past_Decade","Positive"
889,"Q1","Past_Decade","Positive"
891,"Q1","Past_Decade","Positive"
892,"Q1","Past_Decade","Negative"
893,"Q1","Past_Decade","Positive"
895,"Q1","Past_Decade","Positive"
896,"Q1","Past_Decade","Positive"
898,"Q1","Past_Decade","Negative"
899,"Q1","Past_Decade","Positive"
901,"Q1","Past_Decade","Positive"
902,"Q1","Past_Decade","Positive"
903,"Q1","Past_Decade","Negative"
907,"Q1","Past_Decade","Positive"
908,"Q1","Past_Decade","Positive"
912,"Q1","Past_Decade","Positive"
915,"Q1","Past_Decade","Positive"
916,"Q1","Past_Decade","Positive"
917,"Q1","Past_Decade","Negative"
918,"Q1","Past_Decade","Positive"
921,"Q1","Past_Decade","Negative"
922,"Q1","Past_Decade","Negative"
923,"Q2","Past_Decade","Negative"
928,"Q2","Past_Decade","Positive"
931,"Q2","Past_Decade","Negative"
933,"Q2","Past_Decade","Positive"
938,"Q2","Past_Decade","Positive"
939,"Q2","Past_Decade","Positive"
940,"Q2","Past_Decade","Positive"
942,"Q2","Past_Decade","Positive"
943,"Q2","Past_Decade","Positive"
944,"Q2","Past_Decade","Positive"
947,"Q2","Past_Decade","Negative"
948,"Q2","Past_Decade","Positive"
949,"Q2","Past_Decade","Positive"
950,"Q2","Past_Decade","Negative"
952,"Q2","Past_Decade","Positive"
953,"Q2","Past_Decade","Positive"
955,"Q2","Past_Decade","Positive"
956,"Q2","Past_Decade","Negative"
957,"Q2","Past_Decade","Negative"
959,"Q2","Past_Decade","Positive"
964,"Q2","Past_Decade","Positive"
965,"Q2","Past_Decade","Positive"
967,"Q2","Past_Decade","Positive"
968,"Q2","Past_Decade","Negative"
970,"Q2","Past_Decade","Negative"
973,"Q3","Past_Decade","Negative"
975,"Q3","Past_Decade","Negative"
976,"Q3","Past_Decade","Positive"
986,"Q3","Past_Decade","Positive"
989,"Q3","Past_Decade","Negative"
990,"Q3","Past_Decade","Positive"
995,"Q3","Past_Decade","Positive"
996,"Q3","Past_Decade","Positive"
999,"Q3","Past_Decade","Positive"
1001,"Q3","Past_Decade","Positive"
1004,"Q3","Past_Decade","Positive"
1005,"Q3","Past_Decade","Positive"
1006,"Q3","Past_Decade","Negative"
1007,"Q3","Past_Decade","Negative"
1008,"Q3","Past_Decade","Positive"
1009,"Q3","Past_Decade","Positive"
1010,"Q3","Past_Decade","Negative"
1015,"Q3","Past_Decade","Positive"
1016,"Q3","Past_Decade","Positive"
1017,"Q3","Past_Decade","Positive"
1021,"Q3","Past_Decade","Positive"
1024,"Q3","Past_Decade","Negative"
1025,"Q3","Past_Decade","Positive"
1026,"Q3","Past_Decade","Positive"
1027,"Q3","Past_Decade","Positive"
1030,"Q3","Past_Decade","Positive"
1036,"Q3","Past_Decade","Positive"
1038,"Q3","Past_Decade","Positive"
1039,"Q3","Past_Decade","Positive"
1040,"Q3","Past_Decade","Negative"
1041,"Q3","Past_Decade","Positive"
1042,"Q3","Past_Decade","Positive"
1043,"Q3","Past_Decade","Negative"
1044,"Q3","Past_Decade","Positive"
1045,"Q3","Past_Decade","Positive"
1046,"Q3","Past_Decade","Positive"
1047,"Q3","Past_Decade","Positive"
1050,"Q3","Past_Decade","Positive"
1052,"Q3","Past_Decade","Positive"
1053,"Q3","Past_Decade","Positive"
1054,"Q3","Past_Decade","Positive"
1055,"Q3","Past_Decade","Positive"
1059,"Q4","Past_Decade","Positive"
1061,"Q4","Past_Decade","Positive"
1062,"Q4","Past_Decade","Positive"
1063,"Q4","Past_Decade","Negative"
1064,"Q4","Past_Decade","Negative"
1065,"Q4","Past_Decade","Negative"
1066,"Q4","Past_Decade","Positive"
1067,"Q4","Past_Decade","Negative"
1070,"Q4","Past_Decade","Positive"
1071,"Q4","Past_Decade","Positive"
1072,"Q4","Past_Decade","Negative"
1073,"Q4","Past_Decade","Positive"
1075,"Q4","Past_Decade","Positive"
1081,"Q4","Past_Decade","Positive"
1084,"Q4","Past_Decade","Positive"
1085,"Q4","Past_Decade","Positive"
1086,"Q4","Past_Decade","Negative"
1088,"Q4","Past_Decade","Negative"
1090,"Q4","Past_Decade","Positive"
1091,"Q4","Past_Decade","Positive"
1092,"Q4","Past_Decade","Positive"
1093,"Q4","Past_Decade","Positive"
1094,"Q4","Past_Decade","Positive"
1096,"Q4","Past_Decade","Negative"
1099,"Q4","Past_Decade","Negative"
1100,"Q4","Past_Decade","Negative"
1101,"Q4","Past_Decade","Negative"
1105,"Q4","Past_Decade","Positive"
1108,"Q4","Past_Decade","Negative"
1110,"Q4","Past_Decade","Negative"
1112,"Q4","Past_Decade","Positive"
1113,"Q4","Past_Decade","Negative"
1115,"Q1","Past_Decade","Positive"
1116,"Q1","Past_Decade","Positive"
1117,"Q1","Past_Decade","Positive"
1118,"Q1","Past_Decade","Positive"
1119,"Q1","Past_Decade","Negative"
1122,"Q1","Past_Decade","Negative"
1123,"Q1","Past_Decade","Positive"
1124,"Q1","Past_Decade","Negative"
1126,"Q1","Past_Decade","Positive"
1128,"Q1","Past_Decade","Positive"
1129,"Q1","Past_Decade","Positive"
1130,"Q1","Past_Decade","Negative"
1131,"Q1","Past_Decade","Positive"
1135,"Q1","Past_Decade","Positive"
1136,"Q1","Past_Decade","Positive"
1138,"Q1","Past_Decade","Negative"
1140,"Q1","Past_Decade","Negative"
1142,"Q1","Past_Decade","Negative"
1143,"Q1","Past_Decade","Negative"
1144,"Q1","Past_Decade","Positive"
1145,"Q1","Past_Decade","Positive"
1147,"Q1","Past_Decade","Positive"
1148,"Q1","Past_Decade","Positive"
1150,"Q1","Past_Decade","Positive"
1152,"Q1","Past_Decade","Positive"
1153,"Q1","Past_Decade","Positive"
1155,"Q1","Past_Decade","Negative"
1156,"Q1","Past_Decade","Positive"
1157,"Q1","Past_Decade","Negative"
1158,"Q1","Past_Decade","Negative"
1160,"Q1","Past_Decade","Negative"
1161,"Q1","Past_Decade","Positive"
1163,"Q1","Past_Decade","Positive"
1164,"Q1","Past_Decade","Negative"
1165,"Q1","Past_Decade","Negative"
1167,"Q1","Past_Decade","Negative"
1169,"Q1","Past_Decade","Positive"
1170,"Q1","Past_Decade","Negative"
1171,"Q1","Past_Decade","Positive"
1172,"Q2","Past_Decade","Negative"
1173,"Q2","Past_Decade","Positive"
1174,"Q2","Past_Decade","Negative"
1175,"Q2","Past_Decade","Negative"
1176,"Q2","Past_Decade","Negative"
1177,"Q2","Past_Decade","Positive"
1180,"Q2","Past_Decade","Positive"
1182,"Q2","Past_Decade","Positive"
1185,"Q2","Past_Decade","Negative"
1192,"Q2","Past_Decade","Negative"
1194,"Q2","Past_Decade","Negative"
1195,"Q2","Past_Decade","Positive"
1196,"Q2","Past_Decade","Negative"
1198,"Q2","Past_Decade","Positive"
1199,"Q2","Past_Decade","Positive"
1200,"Q2","Past_Decade","Negative"
1202,"Q2","Past_Decade","Positive"
1203,"Q2","Past_Decade","Negative"
1204,"Q2","Past_Decade","Positive"
1207,"Q2","Past_Decade","Positive"
1209,"Q2","Past_Decade","Negative"
1215,"Q2","Past_Decade","Positive"
1216,"Q2","Past_Decade","Negative"
1217,"Q2","Past_Decade","Negative"
1218,"Q2","Past_Decade","Negative"
1220,"Q2","Past_Decade","Negative"
1221,"Q2","Past_Decade","Positive"
1224,"Q2","Past_Decade","Negative"
1226,"Q2","Past_Decade","Negative"
1227,"Q2","Past_Decade","Negative"
1228,"Q2","Past_Decade","Negative"
1230,"Q3","Past_Decade","Positive"
1231,"Q3","Past_Decade","Positive"
1232,"Q3","Past_Decade","Positive"
1234,"Q3","Past_Decade","Positive"
1236,"Q3","Past_Decade","Negative"
1237,"Q3","Past_Decade","Positive"
1240,"Q3","Past_Decade","Positive"
1241,"Q3","Past_Decade","Negative"
1242,"Q3","Past_Decade","Positive"
1244,"Q3","Past_Decade","Positive"
1246,"Q3","Past_Decade","Negative"
1247,"Q3","Past_Decade","Negative"
1250,"Q3","Past_Decade","Negative"
1251,"Q3","Past_Decade","Negative"
1252,"Q3","Past_Decade","Negative"
1253,"Q3","Past_Decade","Positive"
1255,"Q3","Past_Decade","Positive"
1256,"Q3","Past_Decade","Negative"
1259,"Q3","Past_Decade","Negative"
1260,"Q3","Past_Decade","Positive"
1261,"Q3","Past_Decade","Negative"
